FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,433.4,355.3,381.3,420.0,Espanhol,Sem problemas,480.0,180.0,"Até R$ 1.212,00",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,MT,Federal,Urbana,MT,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,466.9,553.5,535.6,506.2,Inglês,Sem problemas,820.0,164.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
23 anos,M,Preta,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,442.7,487.2,474.4,582.2,Inglês,Sem problemas,540.0,108.0,"Até R$ 1.212,00",Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,ES,Estadual,Urbana,ES,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,626.0,614.9,525.2,514.9,Espanhol,Sem problemas,640.0,253.2,"De R$ 4.848,01 até R$ 6.060,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,DF,Estadual,Urbana,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,386.6,429.7,339.4,394.0,Inglês,Sem problemas,520.0,182.8,Nenhuma Renda,Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SC,Estadual,Urbana,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,517.9,622.2,546.9,621.5,Inglês,Sem problemas,820.0,164.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
19 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,AL,Estadual,Urbana,AL,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,530.1,554.1,482.5,689.5,Espanhol,Sem problemas,720.0,144.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
19 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,AM,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Rosa,Rosa,Não identificado,,410.2,470.4,,Espanhol,Sem problemas,480.0,96.0,"Até R$ 1.212,00",Sim
19 anos,F,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,700.7,709.0,655.2,844.2,Inglês,Sem problemas,940.0,329.8,"De R$ 8.484,01 até R$ 9.696,00.",Sim
25 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,498.4,418.3,472.4,459.3,Espanhol,Sem problemas,740.0,148.0,"Até R$ 1.212,00",Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,405.9,446.4,407.9,530.9,Inglês,Sem problemas,640.0,128.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,F,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Estadual,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,451.9,522.8,557.6,586.4,Espanhol,Sem problemas,720.0,144.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
21 anos,F,Parda,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,DF,Privada,Urbana,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,640.8,674.0,566.3,723.4,Inglês,Sem problemas,800.0,294.8,"De R$ 8.484,01 até R$ 9.696,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PI,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,567.2,464.6,436.4,462.0,Espanhol,Sem problemas,400.0,172.4,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Entre 46 e 50 anos,F,Parda,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,470.0,478.4,502.5,459.9,Inglês,Sem problemas,560.0,206.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
25 anos,M,Amarela,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,541.1,603.2,479.9,663.9,Inglês,Sem problemas,580.0,116.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
19 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,403.7,412.8,404.7,432.1,Inglês,Sem problemas,540.0,108.0,"Até R$ 1.212,00",Não
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,592.6,605.9,585.3,658.6,Inglês,Sem problemas,920.0,184.0,"De R$ 10.908,01 até R$ 12.120,00.",Sim
20 anos,F,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Não respondeu,AC,Estadual,Urbana,AC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,450.0,477.1,440.8,412.3,Espanhol,Sem problemas,380.0,166.0,"Até R$ 1.212,00",Não
18 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,401.6,572.2,595.8,484.3,Inglês,Sem problemas,680.0,136.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,527.7,568.7,568.7,612.3,Espanhol,Sem problemas,700.0,140.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
21 anos,M,Preta,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
19 anos,F,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,507.6,589.4,562.6,565.5,Inglês,Sem problemas,940.0,188.0,"Até R$ 1.212,00",Sim
Entre 46 e 50 anos,F,Branca,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,613.0,676.1,660.4,694.9,Inglês,Sem problemas,460.0,214.6,"De R$ 6.060,01 até R$ 7.272,00.",Sim
Entre 66 e 70 anos,M,Parda,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PI,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,505.4,419.6,437.4,494.5,Inglês,Sem problemas,840.0,168.0,"De R$ 14.544,01 até R$ 18.180,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,527.1,501.6,477.8,559.6,Inglês,Sem problemas,640.0,128.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
19 anos,F,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,458.5,548.3,524.2,604.3,Espanhol,Sem problemas,800.0,160.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
21 anos,M,Branca,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MT,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,546.2,516.5,563.0,613.5,Espanhol,Sem problemas,740.0,260.6,"De R$ 3.030,01 até R$ 3.636,00.",Sim
Menor de 17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,587.2,614.1,570.0,613.3,Inglês,Sem problemas,940.0,302.0,"Até R$ 1.212,00",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SC,Estadual,Urbana,SC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,555.2,548.6,530.6,699.4,Espanhol,Sem problemas,640.0,128.0,"De R$ 14.544,01 até R$ 18.180,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,PI,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,481.1,460.6,440.4,480.1,Espanhol,Sem problemas,840.0,168.0,"Até R$ 1.212,00",Sim
21 anos,F,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,483.6,502.9,455.9,438.2,Inglês,Sem problemas,840.0,168.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Entre 36 e 40 anos,F,Indígena,Já conluí o Ensino Médio,Antes de 2007,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RN,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,Nenhuma Renda,Sim
18 anos,M,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,431.1,458.7,418.4,400.8,Espanhol,Fuga ao tema,0.0,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,M,Amarela,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,SP,Privada,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,590.0,568.0,519.7,811.7,Inglês,Sem problemas,920.0,415.6,"De R$ 7.272,01 até R$ 8.484,00.",Sim
Entre 26 e 30 anos,F,Preta,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,428.2,502.2,477.3,462.6,Inglês,Sem problemas,500.0,100.0,"Até R$ 1.212,00",Sim
Menor de 17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,457.6,426.9,431.7,598.4,Espanhol,Sem problemas,520.0,104.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
20 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,576.6,560.0,551.4,486.9,Inglês,Sem problemas,540.0,220.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,444.5,449.5,536.5,394.4,Espanhol,Sem problemas,700.0,140.0,"Até R$ 1.212,00",Não
25 anos,F,Parda,Já conluí o Ensino Médio,2016,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,433.1,505.0,538.2,522.9,Espanhol,Sem problemas,360.0,173.0,"Até R$ 1.212,00",Sim
18 anos,F,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,420.5,427.5,381.5,395.4,Espanhol,Sem problemas,360.0,72.0,"Até R$ 1.212,00",Sim
18 anos,M,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,DF,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,RN,Estadual,Urbana,RN,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,456.9,526.8,495.9,505.8,Espanhol,Sem problemas,580.0,116.0,"Até R$ 1.212,00",Sim
Entre 26 e 30 anos,F,Parda,Já conluí o Ensino Médio,2014,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,422.2,537.9,592.0,423.5,Espanhol,Sem problemas,300.0,178.4,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Entre 26 e 30 anos,M,Preta,Já conluí o Ensino Médio,2013,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,377.3,510.1,566.6,586.2,Espanhol,Sem problemas,580.0,116.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
22 anos,F,Parda,Já conluí o Ensino Médio,2017,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PB,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,514.3,537.6,506.9,360.4,Espanhol,Em Branco,0.0,0.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
19 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,408.0,416.9,428.3,488.3,Espanhol,Sem problemas,500.0,181.6,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Estadual,Urbana,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
18 anos,M,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Inglês,Não Atribuido,,0.0,"De R$ 4.848,01 até R$ 6.060,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,458.0,603.1,455.7,593.7,Inglês,Sem problemas,780.0,247.6,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,DF,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,590.1,620.7,610.3,660.7,Inglês,Sem problemas,880.0,176.0,"De R$ 10.908,01 até R$ 12.120,00.",Sim
21 anos,M,Preta,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Rosa,Rosa,Não identificado,,583.3,528.4,,Inglês,Sem problemas,520.0,104.0,"Até R$ 1.212,00",Sim
18 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MS,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,438.1,518.4,429.2,418.3,Inglês,Sem problemas,480.0,96.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,425.2,520.2,422.9,376.0,Espanhol,Sem problemas,500.0,175.2,"Até R$ 1.212,00",Sim
23 anos,M,Branca,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,445.4,590.2,503.3,682.3,Inglês,Sem problemas,780.0,156.0,"Até R$ 1.212,00",Sim
22 anos,M,Branca,Já conluí o Ensino Médio,2018,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PR,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,499.6,459.8,521.9,511.5,Espanhol,Sem problemas,640.0,128.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,524.0,570.1,550.6,605.6,Inglês,Sem problemas,600.0,224.8,"De R$ 2.424,01 até R$ 3.030,00.",Sim
19 anos,M,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,PI,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,526.4,448.2,541.7,668.3,Espanhol,Sem problemas,880.0,176.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,PE,Estadual,Urbana,PE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,477.9,466.8,488.3,382.7,Espanhol,Sem problemas,540.0,108.0,"Até R$ 1.212,00",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,CE,Estadual,Urbana,CE,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
18 anos,F,Preta,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,583.6,601.1,583.2,660.6,Inglês,Sem problemas,840.0,168.0,"De R$ 9.696,01 até R$ 10.908,00.",Sim
19 anos,F,Branca,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,633.3,717.2,631.1,836.1,Inglês,Sem problemas,900.0,180.0,"Acima de R$ 24.240,00.",Sim
20 anos,F,Branca,Já conluí o Ensino Médio,2020,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,CE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,584.2,542.3,522.3,569.0,Inglês,Sem problemas,480.0,209.8,"De R$ 1.212,01 até R$ 1.818,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,TO,Federal,Urbana,TO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,585.5,623.6,575.5,696.3,Espanhol,Sem problemas,660.0,132.0,"De R$ 2.424,01 até R$ 3.030,00.",Sim
18 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,446.3,492.8,501.7,397.8,Espanhol,Sem problemas,800.0,160.0,"Até R$ 1.212,00",Sim
19 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,AL,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,410.0,542.9,458.3,416.3,Inglês,Sem problemas,820.0,246.0,Nenhuma Renda,Sim
18 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,PR,Estadual,Urbana,PR,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,Nenhuma Renda,Sim
Entre 26 e 30 anos,F,Branca,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,510.0,541.9,569.9,590.7,Espanhol,Sem problemas,740.0,250.0,"Até R$ 1.212,00",Sim
18 anos,M,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,GO,Estadual,Urbana,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,439.8,506.9,508.7,551.7,Espanhol,Sem problemas,800.0,160.0,"Até R$ 1.212,00",Sim
17 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,SP,Estadual,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,440.9,552.5,511.3,463.9,Inglês,Sem problemas,320.0,64.0,"Até R$ 1.212,00",Sim
Entre 26 e 30 anos,M,Parda,Já conluí o Ensino Médio,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Faltou à prova,Faltou à prova,Faltou à prova,Faltou à prova,Não identificado,Não identificado,Não identificado,Não identificado,,,,,Espanhol,Não Atribuido,,0.0,"Até R$ 1.212,00",Sim
19 anos,M,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,AC,Estadual,Urbana,AC,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,425.7,516.7,461.1,380.2,Espanhol,Sem problemas,520.0,104.0,"Até R$ 1.212,00",Sim
