FAIXA ETÁRIA,SEXO,COR OU RACA,SITUACÃO DE CONCLUSÃO,ANO QUE CONCLUIU,ESCOLA,ENSINO,ESTADO DA ESCOLA,DEPENDÊNCIA ADM DA ESCOLA,LOCALIZACAO DA ESCOLA,SG_UF_PROVA,PRESENCA CIÊNCIAS DA NATUREZA,PRESENCA CIÊNCIAS HUMANAS,PRESENCA LINGUAGENS E CÓDIGOS,PRESENCA MATEMÁTICA,CÓDIGO DA PROVA CIÊNCIAS DA NATUREZA,CÓDIGO DA PROVA CIÊNCIAS HUMANAS,CÓDIGO DA PROVA LINGUAGENS E CÓDIGOS,CÓDIGO DA PROVA MATEMÁTICA,NOTA CIÊNCIAS DA NATUREZA,NOTA CIÊNCIAS HUMANAS,NOTA LINGUAGENS E CÓDIGOS,NOTA MATEMÁTICA,LÍNGUA ESTRANGEIRA,STATUS DA REDACÃO,NOTA REDACÃO,NOTA TOTAL,"FAIXA SALARIAL",POSSUI INTERNET EM CASA
19 anos,F,Parda,Já conluí o Ensino Médio,2021,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,BA,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,381.3,557.6,440.3,491.9,Inglês,Sem problemas,960.0,192.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,F,Não declarado,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Faltou à prova,Presente na prova,Presente na prova,Faltou à prova,Não identificado,Amarela,Amarela,Não identificado,,461.8,453.3,,Inglês,Parte desconectada,0.0,0.0,"De R$ 3.030,01 até R$ 3.636,00.",Sim
17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,GO,Estadual,Urbana,PI,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,407.2,476.5,491.0,371.6,Espanhol,Sem problemas,300.0,158.2,"De R$ 1.818,01 até R$ 2.424,00.",Sim
18 anos,M,Preta,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Pública,Ensino Regular,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,518.0,559.0,606.3,626.9,Espanhol,Sem problemas,560.0,327.4,"De R$ 1.212,01 até R$ 1.818,00.",Sim
Menor de 17 anos,F,Parda,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,RJ,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,478.4,567.2,584.6,602.1,Inglês,Sem problemas,640.0,128.0,"De R$ 10.908,01 até R$ 12.120,00.",Sim
20 anos,F,Parda,Já conluí o Ensino Médio,2019,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,MG,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,523.3,553.9,563.9,479.2,Espanhol,Sem problemas,600.0,120.0,"De R$ 1.818,01 até R$ 2.424,00.",Sim
Menor de 17 anos,F,Amarela,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SE,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Cinza,Amarela,Amarela,Cinza,481.5,599.6,634.6,685.7,Inglês,Sem problemas,900.0,180.0,"De R$ 1.212,01 até R$ 1.818,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio em 2022,Não informado,Privada,Ensino Regular,SP,Privada,Urbana,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Amarela,Azul,Azul,Amarela,725.5,760.4,667.6,847.8,Inglês,Sem problemas,980.0,196.0,"Acima de R$ 24.240,00.",Sim
Menor de 17 anos,M,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,SP,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Rosa,Rosa,Rosa,Rosa,602.5,607.7,609.8,793.2,Inglês,Sem problemas,720.0,144.0,"De R$ 10.908,01 até R$ 12.120,00.",Sim
17 anos,F,Branca,Estou cursando e concluirei o Ensino Médio após 2022,Não informado,Não Respondeu,Não respondeu,Não respondeu,Não respondeu,Não respondeu,GO,Presente na prova,Presente na prova,Presente na prova,Presente na prova,Azul,Branca,Branca,Azul,549.3,534.8,497.7,569.1,Inglês,Sem problemas,760.0,152.0,"De R$ 4.848,01 até R$ 6.060,00.",Sim
